iter	Logloss
0	0.6608841438
1	0.6279012363
2	0.5928860275
3	0.5628464728
4	0.5326654569
5	0.5013274069
6	0.4736674261
7	0.4528840114
8	0.428077109
9	0.4036515741
10	0.3802633206
11	0.3602343705
12	0.3393415872
13	0.3216655665
14	0.3055551931
15	0.287340555
16	0.271657459
17	0.2570888491
18	0.2439618211
19	0.230871135
20	0.2181489193
21	0.2066274683
22	0.1959528963
23	0.1846084239
24	0.1740916894
25	0.1659739408
26	0.1563798133
27	0.1477504257
28	0.1384344141
29	0.1310287164
30	0.1241339476
31	0.1170947835
32	0.1111570648
33	0.1053432277
34	0.1003571107
35	0.09532815023
36	0.09027123931
37	0.08495349448
38	0.08072334534
39	0.07689188547
40	0.07305999252
41	0.06956308953
42	0.0661330649
43	0.06286836886
44	0.05958969143
45	0.05673429175
46	0.05392321012
47	0.05125696704
48	0.04822986593
49	0.04604904428
